id,highUptake_mol,Usage
69403,138.583929882,Public
40285,113.2865100009,Public
69353,123.8432053552,Public
40368,114.7831220613,Public
66217,127.3845758776,Public
40356,113.5569868436,Public
20731,33.311490611,Public
23909,31.1663870426,Public
29229,29.5359635664,Public
20938,52.6777396864,Public
13058,19.9920571157,Public
35750,39.7959715829,Public
46914,35.1223721035,Public
47263,32.766342203,Public
33020,22.8465397128,Public
31298,30.4330325244,Public
4916,34.9455081258,Public
37870,52.9866744552,Public
29081,43.4390951565,Public
27852,29.8884655827,Public
27449,40.6518136884,Public
57095,44.8223698794,Public
15012,29.3560211822,Public
51754,36.144831936,Public
46254,40.5935519908,Public
65224,35.9501692296,Public
7064,22.0810384537,Public
23754,23.683220599,Public
60717,37.4800570864,Public
9473,34.0735402977,Public
58170,29.6423181216,Public
27465,37.5897269574,Public
52847,45.5320726103,Public
59713,30.6926223358,Public
31184,33.9000951069,Public
66086,22.4934299936,Public
44199,37.6119281952,Public
58357,30.8908875347,Public
58042,32.8855747405,Public
13337,19.8339693663,Public
12320,36.5160465397,Public
45799,44.2036736205,Public
48164,34.027361741,Public
9594,33.9364673767,Public
19400,34.7994377264,Public
9621,32.6520039727,Public
46304,42.9330304796,Public
11192,31.742577571,Public
55324,27.5287895099,Public
48521,31.5577372763,Public
9722,29.2841690088,Public
61525,30.925134668,Public
17713,22.4972721471,Public
42780,35.7650839296,Public
36879,29.7620948956,Public
51028,31.5102994885,Public
62747,45.6046176605,Public
33942,29.8981305791,Public
45838,21.0443017342,Public
48311,52.3056598449,Public
53477,36.940506258,Public
1491,35.1511704503,Public
62956,23.8742829203,Public
28266,18.3785393534,Public
3767,31.3439009311,Public
19559,8.6274691578,Public
48041,29.2286368469,Public
18466,23.7757867795,Public
37107,14.8134388973,Public
6757,32.4454403496,Public
44270,34.5608626502,Public
3899,39.1608075619,Public
15886,39.5416680829,Public
28883,41.4538055455,Public
6340,31.5080726755,Public
40338,95.3146921812,Public
10927,38.0521599875,Public
61121,42.5615287431,Public
40063,41.496110199,Public
40933,38.1553006906,Public
10500,36.148436015,Public
57803,29.2792746694,Public
55739,36.8670885193,Public
37264,28.3386411968,Public
63495,45.7924744034,Public
62326,37.9190776979,Public
23300,27.7740379301,Public
12409,20.7206563476,Public
51032,36.4590421943,Public
9351,29.5306512854,Public
52011,37.4368670923,Public
4891,30.7614346907,Public
54680,30.6399930094,Public
32607,31.9739955269,Public
27121,30.3346571545,Public
18859,29.3153401638,Public
42374,35.8509548749,Public
50483,28.9433294977,Public
1856,51.5481913861,Public
19972,36.9442527354,Public
